STARTDATE,LOCNAME,COUNTRYID,LOCPRESENT
24-07-2004 00:00,Hamda, ,1
25-07-2004 00:00,Dpmaine Kedima, ,1
25-07-2004 00:00,Sapiama, ,1
24-07-2004 00:00,Akser, ,1
25-07-2004 00:00,Chaabat mesk, ,1
06-08-2004 00:00, , ,1
07-08-2004 00:00, , ,1
03-08-2004 00:00, , ,1
02-07-2004 00:00, , ,1
02-07-2004 00:00, , ,1
02-09-2004 00:00, , ,1
02-09-2004 00:00, , ,1
02-09-2004 00:00, , ,1
03-09-2004 00:00, , ,1
03-09-2004 00:00, , ,1
03-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
04-09-2004 00:00, , ,1
06-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
07-02-2004 00:00, , ,1
07-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
06-02-2004 00:00, , ,1
06-02-2004 00:00, , ,1
06-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
01-02-2004 00:00, , ,1
07-02-2004 00:00, , ,1
23-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
21-02-2004 00:00, , ,1
21-02-2004 00:00, , ,1
21-02-2004 00:00, , ,1
21-02-2004 00:00, , ,1
22-02-2004 00:00, , ,1
01-03-2004 00:00, , ,1
13-01-2004 00:00, , ,1
13-01-2004 00:00, , ,1
13-01-2004 00:00, , ,1
13-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
14-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
21-02-2004 00:00,Guorba, ,1
21-02-2004 00:00,Rahhba, ,1
19-02-2004 00:00,Rukbatayn, ,1
21-02-2004 00:00,AbuTarfi, ,1
21-02-2004 00:00,Ghawla, ,1
13-01-2004 00:00, , ,1
12-01-2004 00:00, , ,2
11-01-2004 00:00, , ,1
27-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
12-01-2004 00:00, , ,1
11-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
18-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
17-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
06-01-2004 00:00, , ,1
06-01-2004 00:00, , ,1
06-01-2004 00:00, , ,1
06-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
10-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
09-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
08-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
30-01-2004 00:00, , ,1
31-01-2004 00:00, , ,1
29-01-2004 00:00,Faj-Jamum, ,1
04-02-2004 00:00,Mihilah, ,1
04-02-2004 00:00,Fageer, ,1
04-02-2004 00:00,Rukbatiyn, ,1
04-02-2004 00:00,Tamaya, ,1
29-01-2004 00:00,Faiydah, ,1
29-01-2004 00:00,Ghawlah, ,2
29-01-2004 00:00,Otayfah, ,1
29-01-2004 00:00,Otayfah, ,1
03-02-2004 00:00,Shariyah, ,1
04-02-2004 00:00,Hiyshah, ,1
04-02-2004 00:00,E-Murjan, ,1
04-02-2004 00:00,AbuTurkhy, ,1
03-02-2004 00:00,Mabrok, ,1
03-02-2004 00:00,Mighniyah, ,1
03-02-2004 00:00,Waseet, ,1
04-02-2004 00:00,Shariyah, ,1
04-02-2004 00:00,Assafie, ,2
04-02-2004 00:00,OmJurfan, ,1
03-02-2004 00:00,Tamaya, ,1
04-02-2004 00:00,HadaSham, ,1
02-02-2004 00:00,Mahalah, ,1
02-02-2004 00:00,Fageer, ,1
03-02-2004 00:00,Wadi-Ghiyah, ,1
03-02-2004 00:00,Radah, ,1
03-02-2004 00:00,Bayadah-Hasasham, ,1
03-02-2004 00:00,Madsus, ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
16-06-2004 00:00, , ,1
30-07-2004 00:00, , ,1
30-07-2004 00:00, , ,1
02-08-2004 00:00,Ilatane, ,1
11-08-2004 00:00,Kassoum, ,1
11-08-2004 00:00,Dienko, ,1
11-08-2004 00:00,Kourouba, ,1
11-08-2004 00:00,Diaye 1 et 2, ,1
11-08-2004 00:00,Nionou, ,1
11-08-2004 00:00,Sompi, ,1
11-08-2004 00:00,Tontida, ,1
11-08-2004 00:00,Gouba, ,1
16-08-2004 00:00,Niono  2, ,1
15-08-2004 00:00,Douentza    3, ,1
16-08-2004 00:00,Tintedjim, ,1
17-08-2004 00:00,L¿r¿ 4 Km, ,1
15-08-2004 00:00,Hamdalaye, ,1
11-08-2004 00:00,N'Gouma-Dama, ,1
16-08-2004 00:00,Niono   1, ,1
14-08-2004 00:00,Arahabou, ,1
15-08-2004 00:00,Tin-Essamede, ,1
15-08-2004 00:00,L¿r¿   1, ,1
15-08-2004 00:00,Essaeylalo, ,1
16-08-2004 00:00,Goumel, ,1
14-08-2004 00:00,Bouar¿, ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
01-09-2004 00:00, , ,1
24-08-2004 00:00, , ,1
24-08-2004 00:00, , ,1
25-08-2004 00:00, , ,1
25-08-2004 00:00, , ,1
26-08-2004 00:00, , ,1
26-08-2004 00:00, , ,1
26-08-2004 00:00, , ,1
17-01-2004 00:00,Khareeg, ,1
17-01-2004 00:00,wadihafra, ,1
17-01-2004 00:00,Mareekh, ,1
17-01-2004 00:00,Khayfrwajh, ,1
17-01-2004 00:00,Hadasham, ,1
16-01-2004 00:00,anwebeh, ,1
11-01-2004 00:00,Nabah, ,1
11-01-2004 00:00,Tamaya, ,1
16-01-2004 00:00,algerbeh, ,1
17-01-2004 00:00,safweh, ,1
16-01-2004 00:00,anebah, ,1
19-01-2004 00:00,Mabrukah, ,1
19-01-2004 00:00,OmRagaba, ,1
16-01-2004 00:00,magneha, ,1
16-01-2004 00:00,ashere, ,1
16-01-2004 00:00,adeher, ,1
11-01-2004 00:00,Jamah2, ,1
11-01-2004 00:00,WadiGhea, ,1
11-01-2004 00:00,Tamaya, ,1
11-01-2004 00:00,Nwaybi, ,1
11-01-2004 00:00,Hakak, ,1
11-01-2004 00:00,Makhraja, ,1
11-01-2004 00:00,Sharee, ,1
11-01-2004 00:00,Shamiya, ,1
11-01-2004 00:00,Hameeda, ,1
11-01-2004 00:00,AbuHolyfa, ,1
11-01-2004 00:00,Fageer, ,1
11-01-2004 00:00,Thageeb, ,1
11-01-2004 00:00,Taahen, ,1
11-01-2004 00:00,Jamah, ,1
11-01-2004 00:00,khareeg, ,1
19-01-2004 00:00,WadiNada, ,1
19-01-2004 00:00,Ghawla, ,1
19-01-2004 00:00,Sediyer, ,1
20-01-2004 00:00,Mizarea, ,1
20-01-2004 00:00,Hadasham2, ,1
19-01-2004 00:00,Mighniyah2, ,1
19-01-2004 00:00,Tamaya, ,1
19-01-2004 00:00,Wadinada2, ,1
11-01-2004 00:00,AbuHneen, ,1
11-01-2004 00:00,OmSalam, ,1
01-03-2004 00:00, , ,1
21-01-2004 00:00,Sedaer, ,1
21-01-2004 00:00,Safiha, ,1
21-01-2004 00:00,Assafiyah, ,1
21-01-2004 00:00,Mabrok, ,1
21-01-2004 00:00,Rukbatiyn, ,1
21-01-2004 00:00,Shariyah, ,1
21-01-2004 00:00,Juhfah, ,1
21-01-2004 00:00,Tamaya, ,1
22-01-2004 00:00,Shahbaa, ,1
21-01-2004 00:00,Khaneeg, ,1
21-01-2004 00:00,Hadasham, ,1
21-01-2004 00:00,Mighniyah, ,1
21-01-2004 00:00,Raiylah, ,1
21-01-2004 00:00,Mizerea, ,1
21-01-2004 00:00,Afifah, ,1
21-01-2004 00:00,Ghran, ,1
21-01-2004 00:00,Mismah, ,1
21-01-2004 00:00,Hadasham, ,1
21-01-2004 00:00,Shamiyah, ,1
21-01-2004 00:00,Hakak, ,1
21-01-2004 00:00,Fiydah, ,1
27-01-2004 00:00,Mighniyah, ,1
27-01-2004 00:00,Safwah, ,1
27-01-2004 00:00,Zuhur, ,1
27-01-2004 00:00,Shaiybaa, ,1
27-01-2004 00:00,Ghaula, ,2
27-01-2004 00:00,Nabiaa, ,1
27-01-2004 00:00,WagdiFiydah, ,1
27-01-2004 00:00,Safiyha, ,1
27-01-2004 00:00,Fageer, ,1
27-01-2004 00:00,Shariyah, ,1
27-01-2004 00:00,Khaneeg, ,1
27-01-2004 00:00,Tamaya, ,1
27-01-2004 00:00,Barzah, ,1
26-01-2004 00:00,Shiybaa, ,1
26-01-2004 00:00,Khaneeg, ,1
27-01-2004 00:00,Radah, ,1
27-01-2004 00:00,Zahban, ,1
26-01-2004 00:00,Natheeb, ,1
27-01-2004 00:00,Shamiyah, ,1
26-01-2004 00:00,Rukbatieen, ,1
26-01-2004 00:00,Tqamayah, ,1
27-01-2004 00:00,Massmah, ,1
27-01-2004 00:00,Hihsah, ,1
27-01-2004 00:00,Shamiyah, ,2
27-01-2004 00:00,Ghran, ,1
26-01-2004 00:00,Shariyah, ,1
12-02-2004 00:00, , ,1
13-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
18-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
07-02-2004 00:00,Shieb, ,2
06-02-2004 00:00,Meleet 1, ,1
06-02-2004 00:00,Meleet, ,1
24-02-2004 00:00, , ,2
24-02-2004 00:00, , ,1
24-02-2004 00:00, , ,1
27-02-2004 00:00, , ,1
27-02-2004 00:00, , ,1
27-02-2004 00:00, , ,1
01-01-2005 00:00,Bir Elmagara, ,1
16-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
15-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
16-01-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
16-02-2004 00:00,wadi Bela, ,1
14-02-2004 00:00,wadi Dayla, ,1
12-02-2004 00:00,Wadi Meedadeeb, ,1
13-02-2004 00:00,Mageit2, ,1
12-02-2004 00:00,Geleilma2, ,1
10-02-2004 00:00,Grembt, ,1
15-02-2004 00:00,Tebelnai, ,1
11-02-2004 00:00,wadi mageit, ,1
10-02-2004 00:00,wadi raitayob, ,1
10-02-2004 00:00,wadi rayatob2, ,1
14-02-2004 00:00,Geleilma3, ,1
23-02-2004 00:00,Nabiea, ,1
23-02-2004 00:00,Ghuwala, ,1
23-02-2004 00:00,Fiydah, ,1
23-02-2004 00:00,Haraat, ,1
20-02-2004 00:00,Shamiyah, ,1
19-02-2004 00:00,Mbrek, ,1
22-02-2004 00:00,Mabrook, ,1
22-02-2004 00:00,Owaydi, ,1
22-02-2004 00:00,Nabiah, ,1
19-02-2004 00:00,Shamiyah, ,1
19-02-2004 00:00,Hiyshah, ,1
19-02-2004 00:00,Hart, ,1
19-02-2004 00:00,Dauran, ,1
19-02-2004 00:00,Nabia, ,1
19-02-2004 00:00,Ghaula, ,1
19-02-2004 00:00,Jubah, ,1
19-01-2004 00:00, , ,1
09-04-2004 00:00, , ,1
09-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
14-04-2004 00:00, , ,1
03-04-2004 00:00, , ,1
02-04-2004 00:00, , ,1
01-04-2004 00:00, , ,1
02-04-2004 00:00, , ,1
18-07-2004 00:00, , ,1
18-07-2004 00:00, , ,1
13-08-2004 00:00, , ,1
14-08-2004 00:00, , ,1
15-08-2004 00:00, , ,1
15-08-2004 00:00, , ,1
16-08-2004 00:00, , ,1
17-08-2004 00:00, , ,1
18-08-2004 00:00, , ,1
21-08-2004 00:00, , ,1
22-08-2004 00:00, , ,1
23-08-2004 00:00, , ,1
23-08-2004 00:00, , ,1
24-08-2004 00:00, , ,1
17-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
19-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
20-07-2004 00:00, , ,1
19-07-2004 00:00, , ,1
02-01-2004 00:00, , ,1
07-01-2004 00:00, , ,1
04-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
06-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
01-01-2004 00:00, , ,1
02-01-2004 00:00, , ,1
02-01-2004 00:00, , ,1
02-01-2004 00:00, , ,1
02-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
03-01-2004 00:00, , ,1
04-01-2004 00:00, , ,1
04-01-2004 00:00, , ,1
04-01-2004 00:00, , ,1
05-01-2004 00:00, , ,1
07-02-2004 00:00, , ,1
07-02-2004 00:00, , ,1
07-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
08-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
09-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
10-02-2004 00:00, , ,1
06-02-2004 00:00,Tafidet, ,1
05-02-2004 00:00, , ,1
16-02-2004 00:00, , ,1
16-02-2004 00:00, , ,1
16-02-2004 00:00, , ,1
17-02-2004 00:00, , ,1
17-02-2004 00:00, , ,1
15-02-2004 00:00, , ,1
15-02-2004 00:00, , ,1
15-02-2004 00:00, , ,1
15-02-2004 00:00, , ,1
16-02-2004 00:00, , ,1
16-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
11-02-2004 00:00, , ,1
31-12-2004 00:00,Radar, ,1
31-12-2004 00:00,Zouzfana, ,1
31-12-2004 00:00,Hassi Messaoud, ,1
31-12-2004 00:00,Rouissat, ,1
31-12-2004 00:00,dayet saadallah, ,1
31-12-2004 00:00,Tarat, ,2
29-12-2004 00:00, , ,1
21-12-2004 00:00, , ,1
21-12-2004 00:00, , ,1
11-10-2004 00:00,Illela, ,1
10-10-2004 00:00,Toumga, ,1
11-10-2004 00:00, , ,1
12-10-2004 00:00, , ,1
22-10-2004 00:00, , ,1
23-10-2004 00:00, , ,1
23-10-2004 00:00, , ,1
23-10-2004 00:00, , ,1
25-10-2004 00:00, , ,1
26-10-2004 00:00, , ,1
27-10-2004 00:00, , ,1
27-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
28-10-2004 00:00, , ,1
29-10-2004 00:00, , ,1
30-10-2004 00:00, , ,1
30-10-2004 00:00, , ,1
30-10-2004 00:00, , ,1
31-10-2004 00:00, , ,1
23-10-2004 00:00,Oued Boulaghouil, ,1
23-10-2004 00:00,Issil, ,1
23-10-2004 00:00,Ben Zaghmim, ,1
23-10-2004 00:00,Toumanar, ,1
23-10-2004 00:00,Sidi Moussa, ,1
23-10-2004 00:00,Sidi Boudala, ,1
30-10-2004 00:00,Agni Meloulen, ,1
30-10-2004 00:00,Imaouen, ,1
30-10-2004 00:00,Ihlouchen, ,1
30-10-2004 00:00,Ait Warghen, ,1
29-10-2004 00:00,Oued Tinwakka, ,1
29-10-2004 00:00,Jwa El Awaya, ,1
23-10-2004 00:00,Oued Awlitis, ,1
23-10-2004 00:00,Ouday El Kabba, ,1
22-10-2004 00:00,Ouled Elabbas, ,1
23-10-2004 00:00,Daya Al khadra, ,1
22-10-2004 00:00,Hassi laaricha, ,1
22-10-2004 00:00,Oued Khrouf, ,1
22-10-2004 00:00,Foum Tangarfa, ,1
23-10-2004 00:00,Fask, ,1
23-10-2004 00:00,Aouinte Khatra, ,1
23-10-2004 00:00,Tagant2, ,1
23-10-2004 00:00,Oued Zag, ,1
23-10-2004 00:00,Tiguidert, ,1
23-10-2004 00:00,Lagritifa, ,1
23-10-2004 00:00,Oued Bir Anzaran, ,1
27-10-2004 00:00,Tagounssa, ,1
26-10-2004 00:00,kedima, ,1
26-10-2004 00:00,Iznaguen, ,1
26-10-2004 00:00,El Faid, ,1
26-10-2004 00:00,Ait Moussa, ,1
26-10-2004 00:00,Assaka, ,1
27-10-2004 00:00,Oued Bouljir, ,1
27-10-2004 00:00,Tayert, ,1
27-10-2004 00:00,Toutline, ,1
27-10-2004 00:00,Fask, ,1
27-10-2004 00:00,Oued sayad, ,1
27-10-2004 00:00,Mhibiss Laadam, ,1
06-11-2004 00:00, , ,1
09-11-2004 00:00, , ,1
10-11-2004 00:00,Imintalat Azafghar, ,1
10-11-2004 00:00,Imi N'waga, ,1
10-11-2004 00:00,Fasma, ,1
10-11-2004 00:00,Douar Lakhloufine, ,1
09-11-2004 00:00,Tanounja, ,1
09-11-2004 00:00,Ait Daoud, ,1
10-11-2004 00:00,Oulad Boulaalam, ,1
10-11-2004 00:00,El Arja, ,1
10-11-2004 00:00,Blib Jdian, ,2
02-04-2004 00:00, , ,1
02-04-2004 00:00, , ,1
01-04-2004 00:00, , ,1
01-04-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
11-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
12-03-2004 00:00, , ,1
25-02-2004 00:00, , ,1
27-02-2004 00:00, , ,1
28-02-2004 00:00, , ,1
28-02-2004 00:00, , ,1
28-02-2004 00:00, , ,1
03-02-2004 00:00,UmJurfan, ,1
03-02-2004 00:00,Mighniyah, ,1
03-02-2004 00:00,Khaneeg, ,1
03-02-2004 00:00,Nada, ,1
03-02-2004 00:00,Ghawlah, ,1
03-02-2004 00:00,Hakak, ,1
02-02-2004 00:00,Maadsus, ,1
02-02-2004 00:00,Radah, ,1
02-02-2004 00:00,WadiSakhrah, ,1
02-02-2004 00:00,Tamaya, ,1
02-02-2004 00:00,Mighniyah, ,1
02-02-2004 00:00,Mighniyah, ,1
22-02-2004 00:00, , ,1
23-02-2004 00:00, , ,1
24-02-2004 00:00, , ,1
12-02-2004 00:00, , ,1
13-02-2004 00:00, , ,1
13-02-2004 00:00, , ,1
13-02-2004 00:00, , ,1
13-02-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
24-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
25-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
02-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
03-03-2004 00:00, , ,1
04-03-2004 00:00, , ,1
04-03-2004 00:00, , ,1
04-03-2004 00:00, , ,1
04-03-2004 00:00, , ,1
04-03-2004 00:00, , ,1
