STARTDATE,LOCNAME,COUNTRYID,LOCPRESENT
25-10-1986 00:00, ,SU,1
05-11-1986 00:00,Mitatib,SU,1
05-11-1986 00:00, ,SU,1
17-08-1986 00:00, ,YE,1
16-06-1986 00:00,DHAMAR,YE,1
09-03-1986 00:00,Wadi Sitrab,SU,1
25-09-1986 00:00,Wadi Al Rahabh,YE,1
19-09-1986 00:00,Arqah,YE,1
28-09-1986 00:00,Wadi Maseb,YE,1
25-10-1986 00:00, ,YE,1
03-08-1986 00:00,Qaudah,YE,1
03-08-1986 00:00,Wadi Hadramout,YE,1
18-11-1986 00:00, ,NG,2
05-11-1986 00:00, ,NG,2
05-11-1986 00:00, ,NG,2
18-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
21-05-1986 00:00, ,AG,1
27-05-1986 00:00, ,AG,1
27-05-1986 00:00, ,AG,1
25-10-1986 00:00, ,SU,1
15-12-1986 00:00,Abu Salam,SU,1
07-11-1986 00:00, ,ER,1
15-10-1986 00:00, ,NG,2
06-10-1986 00:00, ,ML,2
06-10-1986 00:00, ,ML,2
15-01-1986 00:00,Hali (OAS),SA,1
15-01-1986 00:00,Hali (OAS),SA,1
15-04-1986 00:00,Khulais,SA,1
25-04-1986 00:00,Khulais,SA,1
25-09-1986 00:00,80 km NE Arlit,NG,1
30-09-1986 00:00,110 km E Iferouane,NG,1
05-10-1986 00:00,Iferouane,NG,1
05-10-1986 00:00,Tagora,NG,1
01-04-1986 00:00,Nagel,SA,1
01-04-1986 00:00,Medina,SA,1
27-05-1986 00:00, ,AG,2
17-05-1986 00:00, ,AG,1
15-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,ML,2
23-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,NG,2
26-10-1986 00:00, ,AG,2
12-10-1986 00:00, ,NG,2
26-10-1986 00:00, ,NG,2
25-04-1986 00:00,Al Ula,SA,1
25-04-1986 00:00,Mekka,SA,1
05-11-1986 00:00,Oued Ikaoa Melele,NG,1
21-11-1986 00:00,Oued Asriwal,ML,1
14-11-1986 00:00,Oued In Ougourem,NG,1
15-11-1986 00:00,Oued Mahraz,NG,1
08-11-1986 00:00,Oued Ekecheker,NG,1
15-09-1986 00:00,TESSENEI,ER,1
25-11-1986 00:00,Merowe,SU,1
25-11-1986 00:00,Wadi Usheir,SU,1
25-11-1986 00:00,Wadi El Basiyai,SU,1
25-11-1986 00:00, ,SU,1
25-11-1986 00:00,Baja,ET,1
